LED品牌,封装尺寸,LED规格,R Cx,R Cy,G Cx,G Cy,B Cx,B Cy,W Cx,W Cy
兆驰,1010,"SMD1010 MCF-1010H-C00（高亮）共阴 黑色哑光/透明 
",0.6938,0.3054,0.1478,0.7359,0.1273,0.072,0.3064,0.3166
兆驰,1010,SMD1010 MCF-1010H-C00（高亮）共阴 黑色哑光/透明 ,0.701,0.298,0.152,0.743,0.127,0.069,0.316,0.329
兆驰,1010,"SMD1010 MCF-1010H-C00（高亮）共阴 黑色哑光/透明
",0.6974,0.3026,0.1381,0.7361,0.1245,0.0745,0.3204,0.3377
兆驰,1010,"SMD1010 MCF-1010H-C00（高亮）共阴 黑色哑光/透明
",0.693,0.3062,0.1391,0.7259,0.1277,0.0698,0.2974,0.3241
欣磊,1010,"SMD1010 HLXS-PC02P100F0RSLABD-GL（高亮）共阴 黑色哑光/透明 
",0.6903,0.3045,0.1922,0.7322,0.1391,0.047,0.3207,0.3178
瑞丰,1921,SMD 1921 三合一 RF-W2SA21HS-N44 瑞丰 金线 黑灯 共阴,0.698,0.3018,0.1581,0.7423,0.1224,0.0862,0.3143,0.3224
晶台,2020,"SMD 2020 JT-KF0707QBZGSURM-BB-A1 全彩三合一 普亮黑灯 晶台 金线灯 
",0.694,0.304,0.155,0.732,0.131,0.061,0.316,0.331
国星,1921,SMD 1921  FM-Z1921RGBA-SH 三合一 国星外黑内白灯 ROHS  金线灯,0.695,0.304,0.175,0.744,0.128,0.07,0.312,0.325
国星,1921,SMD 1921 NH-Z1921RGBA-SG 三合一 国星外黑内白 铜线灯,0.699,0.299,0.14,0.735,0.131,0.062,0.311,0.33
国星,1921,SMD 1921 NH-Z1921RGBA-SG 三合一 国星外黑内白 铜线灯,0.697,0.302,0.179,0.743,0.129,0.07,0.315,0.326
国星,1010,SMD1010 NH-B1010RGBT-HF 国星 铜线黑灯,0.699,0.299,0.168,0.734,0.129,0.068,0.315,0.329
